transactional_key,loyalty_card_key,basket_nutri_score,basket_eco_score,basket_nova_score,basket_pct_healthy,basket_pct_sustainable,basket_pct_ultra_processed,n_scored_products,basket_health_label
1922825724933,55673500018493533190,3.0,6.0,4.0,0.0,1.0,1.0,1.0,Adequate (limited data)
1922874591258,60312565877171365330,4.0,6.0,3.0,1.0,1.0,0.0,1.0,Excellent (limited data)
1922880197641,24143728910190141390,1.0,3.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1922925595656,85981714076956993640,5.0,7.0,4.0,1.0,1.0,1.0,1.0,Good (limited data)
1922930724868,23278753041909536120,1.0,2.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1922934596620,70687952906126576690,2.0,5.0,2.0,0.0,0.0,0.0,1.0,Good (limited data)
1922939234335,81797647604789623060,2.0,2.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1922945880104,51908460104657895100,2.0,3.0,3.0,0.0,0.0,0.0,1.0,Adequate (limited data)
1922947254311,89853369442686024040,5.0,7.0,1.0,1.0,1.0,0.0,1.0,Excellent (limited data)
1922955308048,86563675837072841890,2.0,5.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1922984865835,79854161089431560500,1.0,4.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1922991230981,80644838393934362390,3.0,7.0,4.0,0.0,1.0,1.0,1.0,Adequate (limited data)
1923001670666,15952632603597608480,5.0,1.0,4.0,1.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923012371475,77288814397074433500,1.0,1.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923013543971,86436252914229934380,2.0,6.0,4.0,0.0,1.0,1.0,1.0,Needs Improvement (limited data)
1923039823876,25769208443156714820,3.0,5.0,4.0,0.0,0.0,1.0,1.0,Adequate (limited data)
1923044564003,66709967464080397170,1.0,4.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923047381002,56692738161554696160,1.0,5.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923051850760,78742716682133865440,1.0,6.0,1.0,0.0,1.0,0.0,1.0,Good (limited data)
1923058099240,44753489131373982990,3.0,2.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923059542051,73136433508546374440,2.0,3.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923074762778,58363079477920262420,4.0,5.0,4.0,1.0,0.0,1.0,1.0,Adequate (limited data)
1923079798815,90764170755263583930,4.0,1.0,4.0,1.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923098419219,15609882279555719800,1.0,3.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923098560553,22182565372663961260,3.0,5.0,1.0,0.0,0.0,0.0,1.0,Excellent (limited data)
1923105180672,69073744517883647240,3.0,7.0,4.0,0.0,1.0,1.0,1.0,Adequate (limited data)
1923247755304,16650228339618459000,2.0,4.0,3.0,0.0,0.0,0.0,1.0,Good (limited data)
1923277117445,69706018024440581390,3.0,6.0,3.0,0.0,1.0,0.0,1.0,Excellent (limited data)
1923336269846,86858682516851835830,3.0,3.0,3.0,0.0,0.0,0.0,1.0,Good (limited data)
1923377427458,62553484378703405810,1.0,4.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923383014438,52335364981979641640,1.0,6.0,3.0,0.0,1.0,0.0,1.0,Good (limited data)
1923399638032,51753911121600557100,4.0,7.0,3.0,1.0,1.0,0.0,1.0,Excellent (limited data)
1923410671642,91414750688337271350,2.0,4.0,3.0,0.0,0.0,0.0,1.0,Good (limited data)
1923415467041,56170850297796646150,3.0,4.0,3.0,0.0,0.0,0.0,1.0,Good (limited data)
1923422612503,16696080350169030120,3.0,3.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923430583324,15363655186236004870,4.0,6.0,3.0,1.0,1.0,0.0,1.0,Excellent (limited data)
1923448615961,22384604105190719400,3.0,5.0,3.0,0.0,0.0,0.0,1.0,Excellent (limited data)
1923452803094,33678952528748421790,5.0,3.0,1.0,1.0,0.0,0.0,1.0,Excellent (limited data)
1923467803650,18914322067527647760,5.0,6.0,1.0,1.0,1.0,0.0,1.0,Excellent (limited data)
1923468817424,71828662906241632430,1.0,5.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923474276371,83491524062474682390,4.0,3.0,1.0,1.0,0.0,0.0,1.0,Good (limited data)
1923479965721,73786948183267363240,5.0,2.0,1.0,1.0,0.0,0.0,1.0,Excellent (limited data)
1923485258795,54075377995089900420,2.0,4.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923490752516,11069183876436063430,1.0,1.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923500273705,28325597696878823240,2.0,6.0,4.0,0.0,1.0,1.0,1.0,Needs Improvement (limited data)
1923512621057,51860701402019927130,3.0,3.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
1923514848285,53448641318891531800,2.0,4.0,3.0,0.0,0.0,0.0,1.0,Good (limited data)
1923517428739,24632488645725423020,1.0,5.0,4.0,0.0,0.0,1.0,1.0,Needs Improvement (limited data)
